市场,股票代码,股票名称,发行总数(万股),上市价格,每手股数,币种,申购起始,申购结束,上市时间
HK,01960,TBKS HLDGS,25000.00,0.50,5000,港元,2019-09-16,2019-09-19,2019-09-30
HK,08668,瀛海集团,30000.00,0.24,10000,港元,2019-09-13,2019-09-18,2019-09-26
HK,02696,复宏汉霖-B,6469.54,49.60,100,港元,2019-09-12,2019-09-17,2019-09-25
HK,03928,S&T Hldgs,12000.00,1.07,2000,港元,2019-08-29,2019-09-03,2019-09-19
HK,01920,恒新丰控股,65000.00,0.20,10000,港元,2019-08-06,2019-08-09,2019-08-16
HK,02558,晋商银行,86000.00,3.82,1000,港元,2019-06-28,2019-07-11,2019-07-18
HK,01949,Platt Nera,10000.00,1.25,2000,港元,2019-06-28,2019-07-09,2019-07-16
HK,01912,康特隆,20000.00,0.65,5000,港元,2019-06-29,2019-07-09,2019-07-16
HK,00382,中汇集团,25000.00,2.85,2000,港元,2019-07-04,2019-07-09,2019-07-16
HK,02772,中梁控股,53000.00,5.55,500,港元,2019-06-27,2019-07-08,2019-07-16
HK,01134,恒发光学,12500.00,1.00,4000,港元,2019-06-29,2019-07-08,2019-07-16
HK,06805,金茂源环保,28000.00,1.33,2000,港元,2019-06-29,2019-07-05,2019-07-16
HK,01931,华检医疗,33340.00,3.07,1000,港元,2019-06-29,2019-07-05,2019-07-12
HK,01977,安乐工程,35000.00,1.20,2000,港元,2019-06-28,2019-07-04,2019-07-12
HK,06093,和泓服务,10000.00,1.28,2000,港元,2019-06-27,2019-07-03,2019-07-12
HK,08612,维亮控股,15000.00,0.55,10000,港元,2019-06-27,2019-07-03,2019-07-12
HK,01839,中集车辆,26500.00,6.38,500,港元,2019-06-27,2019-07-03,2019-07-11
HK,02180,万宝盛华,5000.00,9.90,250,港元,2019-06-27,2019-07-03,2019-07-10
HK,00924,坤集团,25000.00,0.50,8000,港元,2019-06-20,2019-06-25,2019-07-05
HK,01943,银涛控股,25000.00,0.50,5000,港元,2019-06-18,2019-06-21,2019-06-28
HK,01901,飞扬集团,12500.00,1.05,2000,港元,2019-06-18,2019-06-21,2019-06-28
HK,01701,途屹控股,25000.00,0.52,4000,港元,2019-06-18,2019-06-21,2019-06-28
HK,01286,鹰普精密,33330.00,3.00,1000,港元,2019-06-18,2019-06-21,2019-06-28
HK,03798,家乡互动,31400.00,1.35,2000,港元,2019-06-18,2019-06-21,2019-07-04
HK,01930,勋龙,16500.00,0.88,4000,港元,2019-06-17,2019-06-20,2019-06-28
HK,01849,创世纪集团控股,20000.00,0.65,5000,港元,2019-06-13,2019-06-19,2019-06-26
HK,01842,植华集团,25000.00,0.50,4000,港元,2019-06-13,2019-06-18,2019-06-28
HK,01951,锦欣生殖,35712.40,8.54,2000,港元,2019-06-13,2019-06-18,2019-06-25
HK,01769,思考乐教育,12490.00,3.68,1000,港元,2019-06-12,2019-06-17,2019-06-21
HK,01935,嘉宏教育,40000.00,1.50,2000,港元,2019-06-04,2019-06-11,2019-06-18
HK,06117,日照港裕廊,40000.00,1.50,2000,港元,2019-05-31,2019-06-05,2019-06-19
HK,03692,翰森制药,55128.00,14.26,2000,港元,2019-05-31,2019-06-05,2019-06-14
HK,03877,中国船舶租赁,153402.00,1.34,2000,港元,2019-05-28,2019-06-04,2019-06-17
HK,02189,嘉涛(香港)控股,25000.00,0.60,4000,港元,2019-05-30,2019-06-04,2019-06-13
HK,06811,太兴集团,25000.00,3.00,1000,港元,2019-05-30,2019-06-04,2019-06-13
HK,00667,中国东方教育,43580.00,11.25,500,港元,2019-05-30,2019-06-04,2019-06-12
HK,06055,中烟香港,16667.00,4.88,1000,港元,2019-05-28,2019-05-31,2019-06-12
HK,02181,迈博药业-B,78358.00,1.50,2000,港元,2019-05-20,2019-05-24,2019-05-31
HK,01905,海通恒信,123530.00,1.88,2000,港元,2019-05-21,2019-05-24,2019-06-03
HK,01521,方达控股,50191.00,3.20,2000,港元,2019-05-17,2019-05-22,2019-05-30
HK,02060,浦江国际,24000.00,2.68,1000,港元,2019-05-17,2019-05-22,2019-05-28
HK,03868,信义能源,188260.95,1.94,2000,港元,2019-05-15,2019-05-20,2019-05-28
HK,01817,慕尚集团控股,20000.00,4.39,500,港元,2019-05-15,2019-05-20,2019-05-27
HK,02230,羚邦集团,49800.00,0.45,5000,港元,2019-04-30,2019-05-10,2019-05-21
HK,01832,海天地悦旅,9000.00,3.54,1000,港元,2019-04-30,2019-05-07,2019-05-16
HK,02346,星宇控股,12500.00,1.00,2000,港元,2019-04-30,2019-05-06,2019-05-16
HK,01873,维亚生物,34500.00,4.41,500,港元,2019-04-25,2019-04-30,2019-05-09
HK,01903,JBB Builders,12500.00,1.18,2000,港元,2019-04-25,2019-04-30,2019-05-10
HK,01857,中国光大水务,10397.00,2.99,1000,港元,2019-04-24,2019-04-29,2019-05-08
HK,01753,兑吧,11111.12,6.00,400,港元,2019-04-24,2019-04-29,2019-05-07
HK,01780,B & D Strategic,15500.00,0.84,2500,港元,2019-04-15,2019-04-18,2019-04-30
HK,08635,连成科技集团,10000.00,0.53,4000,港元,2019-04-15,2019-04-18,2019-05-02
HK,01906,博尼控股,30000.00,0.58,5000,港元,2019-04-12,2019-04-17,2019-04-26
HK,06806,申万宏源,250400.00,3.63,800,港元,2019-04-12,2019-04-17,2019-04-26
HK,01545,设计都会,50000.00,0.30,10000,港元,2019-04-11,2019-04-16,2019-04-25
HK,02660,禅游科技,18000.00,1.23,2000,港元,2019-04-03,2019-04-09,2019-04-16
HK,03321,伟鸿集团控股,12500.00,1.40,2500,港元,2019-03-29,2019-04-08,2019-04-23
HK,02718,东正金融,53333.60,3.06,1000,港元,2019-03-25,2019-03-27,2019-04-03
HK,06819,中智全球,8090.00,5.35,500,港元,2019-03-18,2019-03-21,2019-03-27
HK,06185,康希诺生物—B,5724.86,22.00,200,港元,2019-03-18,2019-03-21,2019-03-28
HK,08537,创辉珠宝,18750.00,0.30,10000,港元,2019-03-15,2019-03-20,2019-03-27
HK,01797,新东方在线,16451.30,10.20,500,港元,2019-03-15,2019-03-20,2019-03-28
HK,01865,管道工程,23000.00,0.55,4000,港元,2019-03-14,2019-03-19,2019-03-27
HK,02682,润利海事,25000.00,0.50,4000,港元,2019-03-04,2019-03-11,2019-03-18
HK,03316,滨江服务,6670.00,6.96,500,港元,2019-02-28,2019-03-08,2019-03-15
HK,01907,中国旭阳集团,60000.00,2.80,1000,港元,2019-02-28,2019-03-05,2019-03-15
HK,03662,奥园健康,17500.00,3.66,1000,港元,2019-02-28,2019-03-05,2019-03-18
HK,01563,友联租赁,49500.00,0.85,3000,港元,2019-02-28,2019-03-05,2019-03-15
HK,01917,豆盟科技,19780.00,0.41,10000,港元,2019-02-28,2019-03-05,2019-03-14
HK,08096,赏之味,12500.00,0.70,5000,港元,2019-02-27,2019-03-04,2019-03-15
HK,01891,兴合控股,25000.00,0.50,4000,港元,2019-02-27,2019-03-04,2019-03-15
HK,01158,开元酒店,7000.00,16.50,200,港元,2019-02-26,2019-03-01,2019-03-11
HK,01902,银城国际控股,35426.20,2.38,2000,港元,2019-02-22,2019-02-27,2019-03-06
HK,02108,K2 F&B,20000.00,0.75,4000,港元,2019-02-21,2019-02-26,2019-03-06
HK,01025,嘉艺控股,13000.00,0.98,4000,港元,2019-02-15,2019-02-20,2019-02-28
HK,02019,德信中国,53200.00,2.80,1000,港元,2019-02-14,2019-02-19,2019-02-26
HK,02616,基石药业-B,18639.60,12.00,500,港元,2019-02-14,2019-02-19,2019-02-26
HK,08607,纳尼亚集团,20000.00,0.40,5000,港元,2019-02-13,2019-02-18,2019-02-26
HK,01872,冠轈控股,22500.00,0.43,5000,港元,2019-02-13,2019-02-18,2019-02-28
HK,01793,伟工控股,20000.00,0.625,4000,港元,2019-01-30,2019-02-15,2019-02-27
HK,08036,电子交易集团,23000.00,0.28,10000,港元,2019-01-30,2019-02-08,2019-02-19
HK,01703,首沣控股,30000.00,0.50,5000,港元,2019-01-31,2019-02-08,2019-02-15
HK,01896,猫眼娱乐,13237.70,14.80,200,港元,2019-01-23,2019-01-28,2019-02-04
HK,01890,中国科培,35333.40,2.48,2000,港元,2019-01-15,2019-01-18,2019-01-25
